video_id,label,start_time,end_time,total_time
46GP8,c092,11.90,21.20,24.83
46GP8,c147,0.00,12.60,24.83
N11GT,c098,8.60,14.20,18.33
N11GT,c075,0.00,11.70,18.33
N11GT,c127,0.00,15.20,18.33
N11GT,c153,6.40,12.10,18.33
KRF68,c018,22.60,27.80,30.33
KRF68,c141,4.10,9.60,30.33
KRF68,c148,10.30,25.00,30.33
KRF68,c006,4.20,10.90,30.33
KRF68,c002,6.80,14.10,30.33
KRF68,c150,0.00,9.90,30.33
KRF68,c000,6.20,15.30,30.33
MJO7C,c015,0.00,32.00,31.38
MJO7C,c107,0.00,32.00,31.38
S6MPZ,c009,0.00,4.30,38.46
S6MPZ,c011,0.00,39.00,38.46
S6MPZ,c015,0.00,39.00,38.46
S6MPZ,c019,0.00,39.00,38.46
S6MPZ,c156,0.00,30.70,38.46
S6MPZ,c059,0.00,39.00,38.46
S6MPZ,c061,0.00,8.00,38.46
S6MPZ,c061,5.00,11.50,38.46
S6MPZ,c017,0.00,35.50,38.46
S6MPZ,c063,0.00,3.70,38.46
7HVU8,c020,0.00,5.60,29.62
7HVU8,c004,12.40,31.00,29.62
7HVU8,c001,0.00,10.00,29.62
7HVU8,c144,13.50,18.90,29.62
7HVU8,c127,0.00,5.00,29.62
7HVU8,c127,1.60,7.80,29.62
7HVU8,c127,6.30,12.30,29.62
MCQO5,c148,4.20,13.40,31.58
MCQO5,c106,29.60,33.00,31.58
MCQO5,c000,2.10,23.50,31.58
MCQO5,c107,21.40,33.00,31.58
MCQO5,c002,1.50,6.30,31.58
MCQO5,c110,20.60,25.90,31.58
VPIYF,c015,1.80,11.00,10.29
JSUF4,c123,16.10,32.00,30.54
JSUF4,c106,17.70,31.80,30.54
JSUF4,c102,0.00,12.40,30.54
JSUF4,c151,15.10,23.60,30.54
JSUF4,c127,0.00,15.50,30.54
8WJIR,c009,4.10,12.90,34.71
8WJIR,c106,12.90,23.50,34.71
8WJIR,c006,7.40,17.60,34.71
8WJIR,c154,7.00,14.20,34.71
8WJIR,c107,0.00,10.30,34.71
8WJIR,c131,5.10,14.50,34.71
8WJIR,c107,15.50,36.00,34.71
8WJIR,c152,5.10,14.50,34.71
8WJIR,c132,0.60,11.20,34.71
8WJIR,c110,11.20,19.70,34.71
8WJIR,c151,10.00,20.80,34.71
8WJIR,c135,10.20,21.30,34.71
8WJIR,c109,5.50,13.60,34.71
INQNU,c107,10.20,17.30,18.46
INQNU,c135,8.60,14.60,18.46
INQNU,c151,8.80,14.70,18.46
INQNU,c106,9.20,14.80,18.46
INQNU,c152,12.70,19.00,18.46
INQNU,c004,0.00,11.90,18.46
INQNU,c075,0.00,11.90,18.46
INQNU,c118,9.60,19.00,18.46
LI6LV,c034,0.00,6.70,34.71
LI6LV,c129,30.20,36.00,34.71
LI6LV,c106,31.40,36.00,34.71
LI6LV,c155,2.70,15.20,34.71
LI6LV,c148,13.30,19.40,34.71
LI6LV,c129,19.20,26.90,34.71
LI6LV,c001,0.00,6.50,34.71
LI6LV,c096,28.90,36.00,34.71
LI6LV,c002,0.00,6.50,34.71
MGCM8,c011,0.00,32.00,30.75
MGCM8,c014,0.00,32.00,30.75
MGCM8,c059,0.00,32.00,30.75
I8QJN,c124,0.00,11.30,30.92
I8QJN,c106,21.50,30.20,30.92
I8QJN,c154,6.50,16.60,30.92
I8QJN,c107,12.90,32.00,30.92
I8QJN,c146,6.80,12.70,30.92
XC9EY,c088,4.20,18.00,25.29
XC9EY,c109,15.90,21.50,25.29
XC9EY,c009,16.10,21.10,25.29
XC9EY,c118,0.00,21.00,25.29
XC9EY,c119,15.90,21.10,25.29
XC9EY,c107,0.00,20.90,25.29
DOQ9Y,c001,7.40,15.10,41.29
DOQ9Y,c006,34.00,40.90,41.29
DOQ9Y,c061,17.60,32.00,41.29
DOQ9Y,c097,30.10,41.80,41.29
DOQ9Y,c155,0.00,15.10,41.29
DOQ9Y,c081,24.20,35.30,41.29
DOQ9Y,c141,34.20,41.30,41.29
DOQ9Y,c020,30.30,42.00,41.29
DOQ9Y,c000,6.50,14.70,41.29
DOQ9Y,c023,13.00,20.50,41.29
DOQ9Y,c063,17.20,24.50,41.29
DOQ9Y,c063,21.50,28.40,41.29
RK9II,c012,10.30,35.00,33.58
RK9II,c154,29.60,35.00,33.58
QGQGZ,c008,0.00,9.40,32.92
QGQGZ,c104,10.40,15.00,32.92
QGQGZ,c130,14.70,34.00,32.92
QGQGZ,c118,18.80,34.00,32.92
QGQGZ,c063,19.10,34.00,32.92
QGQGZ,c061,18.90,33.80,32.92
QGQGZ,c097,1.00,9.60,32.92
5S1WQ,c101,0.00,2.60,31.46
5S1WQ,c127,7.80,31.80,31.46
5S1WQ,c102,6.40,30.80,31.46
5S1WQ,c100,6.00,11.00,31.46
5S1WQ,c098,6.20,30.70,31.46
CUCBN,c154,7.40,12.90,20.88
CUCBN,c123,0.00,11.30,20.88
CUCBN,c009,3.70,10.90,20.88
CUCBN,c097,13.40,19.60,20.88
SX0HE,c107,0.00,12.00,10.54
SX0HE,c015,0.00,5.90,10.54
SX0HE,c019,2.90,12.00,10.54
SX0HE,c106,0.00,5.90,10.54
72JYK,c048,6.70,12.00,23.12
72JYK,c061,17.40,23.70,23.12
72JYK,c151,2.60,8.30,23.12
72JYK,c047,4.20,24.00,23.12
72JYK,c052,8.00,24.00,23.12
72JYK,c156,4.20,24.00,23.12
72JYK,c125,4.20,24.00,23.12
BDFDE,c059,7.30,33.00,31.54
BDFDE,c151,5.40,11.20,31.54
BDFDE,c129,17.30,28.90,31.54
BDFDE,c106,20.50,29.80,31.54
BDFDE,c107,10.50,33.00,31.54
H6N4Z,c113,0.00,7.20,27.96
H6N4Z,c081,6.90,12.50,27.96
H6N4Z,c015,0.00,29.00,27.96
H6N4Z,c001,6.90,12.60,27.96
H6N4Z,c114,2.90,29.00,27.96
H6N4Z,c016,0.00,29.00,27.96
OBTP8,c008,3.50,11.80,31.08
OBTP8,c040,17.90,24.40,31.08
OBTP8,c096,9.20,17.70,31.08
OBTP8,c097,0.00,6.70,31.08
OBTP8,c155,9.40,21.30,31.08
OBTP8,c141,2.80,11.80,31.08
4021N,c040,8.00,27.80,30.33
4021N,c042,24.00,28.70,30.33
4021N,c076,0.00,9.90,30.33
4021N,c039,13.50,22.20,30.33
4021N,c041,8.80,14.30,30.33
4021N,c043,6.00,13.20,30.33
4021N,c000,2.10,10.40,30.33
ZSHWE,c034,11.70,19.50,30.75
ZSHWE,c026,0.00,23.50,30.75
ZSHWE,c155,15.20,28.20,30.75
ZSHWE,c035,10.50,17.50,30.75
ZSHWE,c033,0.00,18.80,30.75
ZSHWE,c001,22.00,27.80,30.75
ZSHWE,c000,22.50,27.40,30.75
ZSHWE,c002,15.70,26.60,30.75
SFDTP,c044,14.80,22.30,30.50
SFDTP,c000,15.40,31.00,30.50
SFDTP,c154,0.00,31.00,30.50
SFDTP,c033,14.60,31.00,30.50
SFDTP,c035,14.30,31.00,30.50
Q5EPP,c129,22.40,27.80,38.75
Q5EPP,c128,2.10,40.00,38.75
SK6FW,c098,13.70,34.00,32.67
